Meas_ID,input_fwd,input_rev,trimmed,qual_fltr,unique,vector_bwa,vector_blat,human_bwa,human_blat,mRNA_unique,mRNA,contigs,unassembled,kaiju_tax,kaiju_genus,bwa_mcds_contigs,bwa_mcds_unassembled,dmnd_refseq,dmnd_seed,dmnd_nr_contigs,dmnd_nr_unassembled
M3314_DBUsw_14r_TrM31,4505001,4505001,3703832,3702553,2389030,2388906,2388901,2388906,2388906,0,3698032,3482,582085,433944,433944,2011,132709,603798,459361,2329,746008
M3315_DBUsw_15r_TrM31,3829921,3829921,3481179,3480219,2029199,2029065,2029060,2029065,2029065,1920528,3478895,2940,633585,438860,438860,1372,131216,483924,329020,1288,687612
M3316_DBUsw_16r_TrM31,4132973,4132973,3667789,3666783,2090442,2090346,2090344,2090346,2090346,2014694,3665299,2972,738601,428151,428151,1271,113624,467836,318403,1359,604070
M3317_DBUsw_17r_TrM31,4233681,4233681,3753027,3752038,2076696,2076556,2076553,2076556,2076556,1988853,3750639,3007,618640,419294,419294,1463,132781,512276,320013,1599,665556
M3318_DBUsw_18r_TrM31,4049860,4049860,3640886,3640008,1788035,1787958,1787955,1787958,1787958,1670696,3638806,2211,502727,319070,319070,1062,90957,357174,264699,839,392703
M3319_DBUsw_19r_TrM31,4318691,4318691,3730420,3729413,2094615,2094469,2094467,2094469,2094469,2016315,3727679,3313,655005,455293,455293,1467,128176,525769,354040,1616,578326
M3320_DBUsw_20r_TrM31,4500387,4500387,3557821,3556107,1778718,1778638,1778636,1778638,1778638,0,3555819,1065,93999,85506,85506,890,22062,328934,335681,172,69553
M3321_DBUsw_21r_TrM31,4133803,4133803,3621861,3620932,1919657,1919547,1919544,1919547,1919547,1840640,3619060,3059,669038,466134,466134,1456,137433,498537,355993,1372,575364
M3322_DBUsw_22r_TrM31,3078332,3078332,2728423,2727788,1401427,1401347,1401345,1401347,1401347,1343366,2726704,1931,419090,287888,287888,924,87495,303556,220682,657,342650
M3323_DBUsw_23r_TrM31,4162997,4162997,3454577,3453512,1889418,1889273,1889270,1889273,1889273,1791372,3452806,3092,613824,466003,466003,1616,129778,510887,370670,1588,578917
M3324_DBUsw_24r_TrM31,4074962,4074962,3508541,3507440,1662951,1662811,1662808,1662811,1662811,1594573,3506673,2161,571918,393117,393117,1030,111971,385772,272386,890,437540
M3325_DBUsw_25r_TrM31,4270332,4270332,3819790,3818839,1842537,1842374,1842373,1842374,1842374,1775541,3818098,2558,642457,463016,463016,1351,142607,449492,317717,1164,532841
M3326_DBUsw_26r_TrM31,4251515,4251515,3731415,3730499,1991959,1991715,1991709,1991715,1991715,1938471,3729845,3536,739496,624470,624470,1861,195257,645565,440024,1668,753911
M3327_DBUsw_27r_TrM31,4101242,4101242,3370589,3369243,2046711,2046376,2046373,2046376,2046376,1971293,3368493,5052,746265,657537,657537,2701,189557,778078,516268,3345,877431
M3328_DBUsw_28r_TrM31,4190579,4190579,3627217,3626204,1845649,1845475,1845474,1845475,1845475,1792749,3625515,3007,679549,499697,499697,1468,143512,477328,347776,1159,507186
M3329_DBUsw_29r_TrM31,4315657,4315657,3486819,3485500,1554197,1553886,1553885,1553886,1553886,0,3483978,1211,177796,138394,138394,931,56304,294788,257320,133,165927
M3330_DBUsw_30r_TrM31,4532105,4532105,4097590,4096499,1660754,1660664,1660663,1660664,1660664,1552633,4095944,2246,492467,345598,345598,1069,88751,328250,277256,741,350352
M3331_DBUsw_31r_TrM31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M3332_DBUsw_32r_TrM31,3882250,3882250,3088384,3086855,1880408,1880374,1880374,1880374,1880374,0,3086336,1290,160192,117973,117973,1068,39114,295104,314452,170,163516
M3333_DBUsw_33r_TrM31,3942770,3942770,3452220,3451294,1863108,1862990,1862988,1862990,1862990,1790013,3449121,3944,859729,527976,527976,1429,138924,574013,440485,2063,708972
M3334_DBUsw_34r_TrM31,3922687,3922687,3265602,3264447,1649828,1649771,1649770,1649771,1649771,0,3264268,1033,67744,89094,89094,909,11483,302972,339597,22,41663
M3335_DBUsw_35r_TrM31,4430674,4430674,3583618,3582380,2229530,2229387,2229385,2229387,2229387,2112946,3581589,4052,884474,542187,542187,1873,152305,615991,468193,1642,641565
M3336_DBUsw_36r_TrM31,3556757,3556757,2912732,2911292,1569358,1569320,1569320,1569320,1569320,0,2911212,957,84085,92504,92504,836,13891,272246,274772,64,61808
M3337_DBUsw_37r_TrM31,4487704,4487704,4004769,4003770,2054109,2054000,2053999,2054000,2054000,1913843,4003403,2866,523509,378676,378676,1221,86069,422318,266123,1915,541944
M3338_DBUsw_38r_TrM31,4027788,4027788,3461998,3461065,2034384,2034258,2034257,2034258,2034258,1939059,3460219,3228,648962,442863,442863,1316,112847,503181,351873,1720,627129
